"Rank","Country","Fertility rate in 2017 (births/woman"
"1","Niger","7.3"
"2","Chad","6.4"
"3","Somalia","6.4"
"4","Congo, Democratic Republic of the","6.3"
"5","Angola","6.2"
"6","Mali","6.0"
"7","Burkina Faso","5.7"
"8","Timor-Leste","5.6"
"9","Nigeria","5.5"
"10","Burundi","5.5"
"11","Gambia, The","5.5"
"12","Uganda","5.4"
"13","Mozambique","5.3"
"14","Afghanistan","5.3"
"15","Tanzania","5.2"
"16","Zambia","5.2"
"17","South Sudan","5.1"
"18","Mayotte (France)","5.0"
"19","Côte d’Ivoire","5.0"
"20","Benin","5.0"
"21","Senegal","4.9"
"22","Sierra Leone","4.9"
"23","Central African Republic","4.9"
"24","Guinea","4.9"
"25","Cameroon","4.8"
"26","Equatorial Guinea","4.8"
"27","Guinea-Bissau","4.7"
"28","Congo, Republic of the","4.7"
"29","Liberia","4.7"
"30","Sudan","4.7"
"31","Mauritania","4.6"
"32","Ethiopia","4.6"
"33","Togo","4.5"
"34","Malawi","4.4"
"35","Sao Tome and Principe","4.4"
"36","Comoros","4.3"
"37","Madagascar","4.2"
"38","Rwanda","4.2"
"39","Eritrea","4.2"
"40","Samoa","4.2"
"41","Yemen","4.1"
"42","Iraq","4.1"
"43","Marshall Islands","4.1"
"44","Ghana","4.0"
"45","Zimbabwe","4.0"
"46","Palestinian Territory (Gaza Strip and West Bank)","4.0"
"47","Nauru","3.9"
"48","Kenya","3.9"
"49","Gabon","3.9"
"50","Solomon Islands","3.9"
"51","Kiribati","3.8"
"52","Papua New Guinea","3.7"
"53","Pakistan","3.6"
"54","Tuvalu","3.6"
"55","Tonga","3.6"
"56","Tajikistan","3.4"
"57","Namibia","3.4"
"58","Vanuatu","3.4"
"59","French Guiana (France)","3.4"
"60","Egypt","3.3"
"61","Swaziland","3.3"
"62","Lesotho","3.3"
"63","Jordan","3.3"
"64","Kyrgyzstan","3.2"
"65","Turkmenistan","3.2"
"66","Algeria","3.1"
"67","Israel","3.1"
"68","Fiji","3.1"
"69","Mongolia","3.0"
"70","Kazakhstan","3.0"
"71","Micronesia, Federated States of","3.0"
"72","Guatemala","2.9"
"73","Bolivia","2.9"
"74","Haiti","2.9"
"75","Djibouti","2.9"
"76","Syria","2.9"
"77","Guam (US)","2.9"
"78","Oman","2.9"
"79","Botswana","2.8"
"80","Laos","2.8"
"81","Philippines","2.8"
"82","Cambodia","2.6"
"83","Belize","2.6"
"84","Saudi Arabia","2.6"
"85","Uzbekistan","2.5"
"86","Honduras","2.5"
"87","Paraguay","2.5"
"88","Guyana","2.5"
"89","Ecuador","2.5"
"90","Reunion (France)","2.5"
"","World","2.5"
"91","South Africa","2.4"
"92","Dominican Republic","2.4"
"93","Peru","2.4"
"94","Nicaragua","2.4"
"95","Tunisia","2.4"
"96","Indonesia","2.4"
"97","Morocco","2.4"
"98","Venezuela","2.4"
"99","Panama","2.4"
"100","Seychelles","2.4"
"101","India","2.3"
"102","Nepal","2.3"
"103","Libya","2.3"
"104","Cape Verde","2.3"
"105","El Salvador","2.3"
"106","Bangladesh","2.3"
"107","Myanmar (Burma)","2.3"
"108","Suriname","2.3"
"109","Argentina","2.3"
"110","New Caledonia (France)","2.3"
"111","Mexico","2.2"
"112","Maldives","2.2"
"113","Palau","2.2"
"114","Western Sahara","2.1"
"115","Bhutan","2.1"
"116","Turkey","2.1"
"117","Viet Nam","2.1"
"118","Sri Lanka","2.1"
"119","Grenada","2.1"
"120","Guadeloupe (France)","2.1"
"121","Dominica","2.1"
"","Population Replacement","2.1"
"122","Colombia","2.0"
"123","Malaysia","2.0"
"124","Azerbaijan","2.0"
"125","Jamaica","2.0"
"126","Saint Vincent and the Grenadines","2.0"
"127","Kuwait","2.0"
"128","French Polynesia (France)","2.0"
"129","Qatar","2.0"
"130","Martinique (France)","2.0"
"131","Brunei","1.9"
"132","Bahrain","1.9"
"133","Korea, North","1.9"
"134","Ireland","1.9"
"135","Uruguay","1.9"
"136","New Zealand","1.9"
"137","France","1.9"
"138","Sweden","1.9"
"139","Iran","1.8"
"140","Costa Rica","1.8"
"141","Saint Kitts and Nevis","1.8"
"142","Chile","1.8"
"143","Kosovo","1.8"
"144","Australia","1.8"
"145","Bahamas","1.8"
"146","China (mainland only)","1.8"
"147","Iceland","1.8"
"148","United States","1.8"
"149","United Kingdom","1.8"
"150","United Arab Emirates","1.8"
"151","Georgia","1.7"
"152","Lebanon","1.7"
"153","Trinidad and Tobago","1.7"
"154","Russia","1.7"
"155","Belarus","1.7"
"156","Barbados","1.7"
"157","Curaçao (Netherlands)","1.7"
"158","Norway","1.7"
"159","Belgium","1.7"
"160","Cuba","1.7"
"161","Denmark","1.7"
"162","Lithuania","1.7"
"163","Latvia","1.7"
"164","Netherlands","1.7"
"165","Armenia","1.6"
"166","Brazil","1.6"
"167","Montenegro","1.6"
"168","Albania","1.6"
"169","Estonia","1.6"
"170","Czechia /  Czech Republic","1.6"
"171","Canada","1.6"
"172","Finland","1.6"
"173","Slovenia","1.6"
"-","European Union","1.6"
"174","Antigua and Barbuda","1.5"
"175","Saint Lucia","1.5"
"176","Thailand","1.5"
"177","Macedonia","1.5"
"178","Switzerland","1.5"
"179","Channel Islands -  Guernsey (UK) and  Jersey (UK)","1.5"
"180","Luxembourg","1.5"
"181","Austria","1.5"
"182","Hungary","1.5"
"183","Ukraine","1.5"
"184","Germany","1.5"
"185","Serbia","1.5"
"186","Croatia","1.5"
"187","Bulgaria","1.5"
"188","Japan","1.5"
"189","San Marino","1.5"
"190","Monaco","1.5"
"191","Cyprus","1.4"
"192","Slovakia /  Slovak Republic","1.4"
"193","Malta","1.4"
"194","Mauritius","1.4"
"195","Poland","1.4"
"196","Portugal","1.4"
"197","Liechtenstein","1.3"
"198","Moldova","1.3"
"199","Puerto Rico (US)","1.3"
"200","Greece","1.3"
"201","Spain","1.3"
"202","Italy","1.3"
"203","Andorra","1.2"
"204","Bosnia and Herzegovina","1.2"
"205","Singapore","1.2"
"206","Romania","1.2"
"207","China, Republic of (Taiwan)","1.2"
"208","Korea, South","1.2"
"209","Hong Kong (China)","1.2"
"210","Macau (China)","1.1"
"","World",""
"1","World","2.5"
"","Continents",""
"1","Africa","4.6"
"2","Oceania","2.3"
"3","Asia","2.2"
