"Rank","Country","Fertility rate 2017 est. (births/woman)"
"1","Niger","6.49"
"2","Angola","6.16"
"3","Mali","6.01"
"4","Burundi","5.99"
"5","Somalia","5.80"
"6","Uganda","5.71"
"7","Burkina Faso","5.71"
"8","Zambia","5.63"
"9","Malawi","5.49"
"10","Afghanistan","5.12"
"11","Mozambique","5.08"
"12","South Sudan","5.07"
"13","Nigeria","5.07"
"14","Liberia","5.06"
"15","Ethiopia","4.99"
"16","Timor-Leste","4.79"
"17","Benin","4.77"
"18","Tanzania","4.77"
"19","Guinea","4.77"
"20","Sierra Leone","4.73"
"21","Cameroon","4.64"
"22","Congo, Republic of the","4.59"
"23","Congo, Democratic Republic of the","4.39"
"24","Equatorial Guinea","4.39"
"25","Gabon","4.39"
"26","Togo","4.38"
"27","Chad","4.34"
"28","Central African Republic","4.30"
"29","Senegal","4.28"
"30","Sao Tome and Principe","4.25"
"31","Gaza Strip (Palestinian Territories)","4.13"
"32","Guinea-Bissau","4.09"
"33","Madagascar","4.03"
"34","Iraq","4.00"
"35","Ghana","4.00"
"36","Eritrea","3.99"
"37","Zimbabwe","3.98"
"38","Rwanda","3.87"
"39","Western Sahara","3.86"
"40","Mauritania","3.86"
"41","Yemen","3.63"
"42","Sudan","3.57"
"43","Gambia, The","3.52"
"44","Egypt","3.47"
"45","Côte d’Ivoire","3.38"
"46","Comoros","3.34"
"47","Namibia","3.29"
"48","West Bank (Palestinian Territories)","3.27"
"49","Jordan","3.19"
"50","Solomon Islands","3.16"
"51","Tonga","3.10"
"52","Vanuatu","3.07"
"53","Papua New Guinea","3.03"
"54","Marshall Islands","3.03"
"55","Philippines","3.02"
"56","Kenya","2.98"
"57","Guam (US)","2.96"
"58","Tuvalu","2.95"
"59","Belize","2.85"
"60","Oman","2.82"
"61","Nauru","2.80"
"62","Northern Mariana Islands (US)","2.80"
"63","Guatemala","2.77"
"64","Haiti","2.72"
"65","Samoa","2.70"
"66","Laos","2.70"
"67","Algeria","2.70"
"68","Swaziland","2.69"
"69","American Samoa (US)","2.68"
"70","Honduras","2.67"
"71","Israel","2.64"
"72","Bolivia","2.63"
"73","Lesotho","2.63"
"74","Tajikistan","2.63"
"75","Pakistan","2.62"
"76","Kyrgyzstan","2.61"
"77","Botswana","2.56"
"78","Cambodia","2.52"
"79","Syria","2.50"
"80","Malaysia","2.50"
"81","India","2.43"
"82","Micronesia, Federated States of","2.41"
"83","Fiji","2.41"
"84","Kuwait","2.40"
"85","Kiribati","2.39"
"","World","-"
"86","Faroe Islands (Denmark)","2.35"
"87","Venezuela","2.32"
"88","United Arab Emirates","2.32"
"89","Djibouti","2.31"
"90","Panama","2.30"
"91","South Africa","2.29"
"92","Dominican Republic","2.29"
"93","Argentina","2.26"
"94","Kazakhstan","2.25"
"95","Cabo Verde","2.24"
"96","Mexico","2.24"
"97","Tunisia","2.23"
"98","Ecuador","2.19"
"99","Cook Islands","2.19"
"100","Bangladesh","2.17"
"101","Burma (Myanmar)","2.17"
"102","Nepal","2.12"
"103","Peru","2.12"
"104","Indonesia","2.11"
"105","Morocco","2.11"
"","Population Replacement","2.10"
"106","Mongolia","2.09"
"107","Saudi Arabia","2.09"
"108","United States Virgin Islands (US )","2.08"
"109","Sri Lanka","2.07"
"110","Turkmenistan","2.07"
"111","France","2.07"
"112","Sint Maarten (Netherlands)","2.05"
"113","Curacao (Netherlands)","2.04"
"114","Libya","2.04"
"115","Dominica","2.03"
"116","Grenada","2.02"
"117","New Zealand","2.02"
"118","Turkey","2.01"
"119","Guyana","2.00"
"120","Colombia","2.00"
"121","Antigua and Barbuda","2.00"
"122","Iceland","2.00"
"123","Greenland (Denmark)","1.99"
"124","Ireland","1.97"
"125","Iran","1.97"
"126","Jamaica","1.96"
"127","Korea, North","1.95"
"128","Suriname","1.93"
"129","New Caledonia (France)","1.93"
"130","Bahamas, The","1.94"
"131","Bermuda (UK)","1.93"
"132","Isle of Man (UK)","1.92"
"133","Bhutan","1.90"
"134","Gibraltar (UK)","1.90"
"135","Paraguay","1.90"
"136","Qatar","1.90"
"137","Nicaragua","1.89"
"138","Costa Rica","1.89"
"139","Azerbaijan","1.89"
"140","French Polynesia (France)","1.88"
"141","United Kingdom","1.88"
"142","Sweden","1.88"
"143","El Salvador","1.87"
"144","United States","1.87"
"145","Norway","1.85"
"146","Seychelles","1.85"
"147","Cayman Islands (UK)","1.85"
"148","Aruba (Netherlands)","1.83"
"149","Vietnam","1.81"
"150","Uruguay","1.80"
"151","Chile","1.80"
"152","Saint Vincent and the Grenadines","1.80"
"153","Brunei","1.78"
"154","Belgium","1.78"
"155","Netherlands","1.78"
"156","Saint Kitts and Nevis","1.77"
"157","Australia","1.77"
"158","Uzbekistan","1.76"
"159","Georgia","1.76"
"160","Bahrain","1.75"
"161","Brazil","1.75"
"162","Saint Lucia","1.75"
"163","Finland","1.75"
"164","Mauritius","1.75"
"165","Anguilla (UK)","1.74"
"166","Wallis and Futuna (France)","1.73"
"167","Denmark","1.73"
"168","Maldives","1.73"
"169","Lebanon","1.72"
"170","Trinidad and Tobago","1.71"
