"Rank","Country","Fertility rate in 1950 (births/woman)"
"1","Iraq","8.11"
"2","Rwanda (Belgian overseas colonies, Ruanda-Urundi → United Nations trust territories →  Rwanda)","7.92"
"3","New Hebrides (British and French Condominium →  Vanuatu)","7.68"
"4","Samoa (United Nations trust territories, Western Samoa →  Samoa)","7.63"
"5","Jordan","7.56"
"6","Dominican Republic","7.51"
"7","Honduras","7.47"
"8","Afghanistan","7.45"
"9","Philippines","7.45"
"10","Cote d'Ivoire (French Colonial Empire, French West Africa, French Ivory Coast →  Cote d'Ivoire","7.38"
"11","Yemen ( North Yemen and  South Yemen →  Yemen)","7.37"
"12","Kenya (British Empire, Kenya Colony →  Kenya)","7.36"
"13","Ethiopia","7.35"
"14","Angola (Portuguese Empire, Portuguese Angola →  Angola)","7.34"
"15","St. Vincent and the Grenadines (British Empire →  St. Vincent and the Grenadines)","7.33"
"16","Madagascar (French Colonial Empire, French Madagascar →  Madagascar)","7.30"
"17","Tonga (British Empire, British Protectorate →  Tonga)","7.30"
"18","Algeria (French Colonial Empire, French Algeria →  Algeria)","7.29"
"19","Niger (French Colonial Empire, French Niger →  Niger)","7.26"
"20","Somalia (British Empire, British Somaliland and Trust Territory of Somaliland →  Somalia)","7.25"
"21","Oman","7.25"
"22","Kuwait (British Empire, British Protectorate →  Kuwait)","7.22"
"23","Saudi Arabia","7.20"
"24","Micronesia, Federated States of (Trust Territory of the Pacific Islands →  Micronesia, Federated States of)","7.20"
"25","Syria","7.18"
"26","Guatemala","7.15"
"27","Libya","7.10"
"28","Qatar (British Empire, British Protectorate →  Qatar)","6.97"
"29","Bahrain (British Empire →  Bahrain)","6.97"
"30","Mozambique (Portuguese Empire, Portuguese Mozambique →  Mozambique)","6.97"
"31","Mali (French Colonial Empire, French West Africa, French Sudan →  Mali)","6.96"
"32","Peru","6.95"
"33","Cambodia (French Colonial Empire, French Indochina, French Cambodia →  Cambodia)","6.95"
"34","United Arab Emirates (British Empire, Trucial States →  United Arab Emirates)","6.94"
"35","Bolivia","6.93"
"36","Iran","6.92"
"37","Eritrea ( Ethiopia →  Eritrea)","6.92"
"38","China, Republic of (Taiwan)","6.90"
"39","Uganda (British Empire →  Uganda)","6.89"
"40","Nicaragua","6.88"
"41","Brunei (British Empire, British Protectorate →  Brunei)","6.86"
"42","Malawi (British Empire, Federation of Rhodesia and Nyasaland, Nyasaland Protectorate →  Malawi)","6.84"
"43","Burundi (Belgian overseas colonies, Ruanda-Urundi → United Nations trust territories →  Burundi)","6.82"
"44","Senegal (French Colonial Empire, French West Africa, French Senegal →  Senegal)","6.79"
"45","Colombia","6.77"
"46","Southern Rhodesia (British Empire, Federation of Rhodesia and Nyasaland →  Zimbabwe)","6.75"
"47","Turkey","6.74"
"48","Mexico","6.72"
"49","Ecuador","6.72"
"50","Egypt","6.72"
"51","Swaziland (British Empire →  Swaziland)","6.71"
"52","Tanzania (British Empire, Tanganyika and Zanzibar →  Tanzania)","6.70"
"53","Belize","6.69"
"54","Sudan (British Empire, Anglo-Egyptian Sudan →  Sudan)","6.68"
"55","Bhutan","6.67"
"56","China, People's Republic of","6.67"
"57","South Sudan (British Empire, Anglo-Egyptian Sudan →  Sudan →  South Sudan)","6.63"
"58","Northern Rhodesia (British Empire, Federation of Rhodesia and Nyasaland →  Zambia)","6.62"
"59","Singapore (British Empire, British Singapore →  Singapore)","6.61"
"60","Pakistan","6.60"
"61","Suriname (Kingdom of the Netherlands →  Suriname)","6.58"
"62","Cabo Verde (Portuguese Empire, Portuguese Cape Verde →  Cabo Verde)","6.57"
"63","Tunisia (French Colonial Empire, French protectorate of Tunisia →  Tunisia)","6.56"
"64","Venezuela","6.54"
"65","Timor-Leste (Portuguese Empire, Portuguese Timor →  Timor-Leste)","6.51"
"66","Morocco (French Colonial Empire, French protectorate in Morocco and Spanish Empire, Spanish protectorate in Morocco →  Morocco)","6.49"
"67","Paraguay","6.49"
"68","Botswana (British Empire, Bechuanaland Protectorate →  Botswana)","6.47"
"69","Solomon Islands (British Empire →  Solomon Islands)","6.40"
"70","Ghana (British Empire, Gold Coast (British colony) →  Ghana)","6.37"
"71","Nigeria (British Empire, British Nigeria →  Nigeria","6.36"
"72","Malaysia (British Empire, British Malaya and British Borneo →  Malaysia)","6.36"
"73","Togo (United Nations trust territories, French Colonial Empire, French West Africa, French Togoland →  Togo)","6.33"
"74","Haiti","6.31"
"75","Djibouti (French Colonial Empire, French Somaliland →  Djibouti)","6.30"
"76","Fiji (British Empire →  Fiji)","6.30"
"77","Liberia","6.25"
"78","El Salvador","6.24"
"79","Bangladesh (Pakistan, East Pakistan →  Bangladesh)","6.23"
"80","Territory of Papua and New Guinea (United Nations trust territories →  Papua New Guinea","6.23"
"81","Sao Tome and Principe (Portuguese Empire, Portuguese Sao Tome and Principe →  Sao Tome and Principe)","6.20"
"82","Brazil","6.14"
"83","Thailand","6.13"
"84","Mauritania (French Colonial Empire, French West Africa, French Mauritania →  Mauritania","6.12"
"85","Kiribati (British Empire, Gilbert and Ellice Islands →  Kiribati )","6.10"
"86","Sierra Leone (British Empire →  Sierra Leone)","6.09"
"87","Chad (French Colonial Empire, French Equatorial Africa, French Chad →  Chad)","6.06"
"88","Greenland (Denmark)","6.05"
"89","South Africa","6.04"
"90","Maldives (British Empire, British Protectorate →  Maldives)","6.03"
"91","Burkina Faso (French Colonial Empire, French West Africa →  Republic of Upper Volta →  Burkina Faso)","6.03"
"92","Burma (→  Myanmar)","6.03"
"93","St. Lucia (British Empire, West Indies Federation →  St. Lucia)","6.00"
"94","Comoros (French Colonial Empire →  Comoros)","6.00"
"95","French Polynesia (French Colonial Empire → France)","6.00"
"96","Belgian Congo (Belgian Colonial Empire, Belgian Congo → Template:Country data Congo, Republic of the (Léopoldville) →  Zaire →  Congo, Democratic Republic of the)","5.99"
"97","Guinea (French Colonial Empire, French West Africa, French Guinea →  Guinea","5.97"
"98","South-West Africa ( South Africa →  Namibia)","5.96"
"99","Nepal","5.96"
"100","Albania","5.96"
"101","Laos (French Colonial Empire, French Indochina, French Laos →  Laos)","5.94"
"102","Guinea-Bissau (Portuguese Empire, Portuguese Guinea →  Guinea-Bissau)","5.92"
"103","India","5.91"
"104","Mauritius (British Empire →  Mauritius)","5.90"
"105","Lesotho (British Empire →  Lesotho)","5.81"
"106","Grenada (British Empire →  Grenada)","5.80"
"107","Lebanon","5.76"
"108","Dahomey (French Colonial Empire, French West Africa →  Dahomey →  Benin","5.75"
"109","Guyana (British Empire →  Guyana)","5.69"
"110","Panama","5.68"
"111","Equatorial Guinea (Spanish Empire, Spanish Guinea →  Equatorial Guinea)","5.68"
"112","Congo, Republic of the (French Colonial Empire, French Congo, French Equatorial Africa →  Congo, Republic of the)","5.67"
"113","Costa Rica","5.65"
"114","Aruba (Netherlands)","5.65"
"115","Sri Lanka","5.64"
"116","Cameroon (United Nations Trust Territories, French Colonial Empire, French Equatorial Africa, French Cameroons →  Cameroon)","5.54"
"117","SR Macedonia ( Yugoslavia →  Macedonia)","5.52"
"118","Mongolia","5.50"
"119","Central African Republic (French Colonial Empire, French Equatorial Africa, Ubangi-Shari →  Central African Republic)","5.40"
"120","Indonesia","5.35"
"121","SR Bosnia and Herzegovina ( Yugoslavia →  Bosnia and Herzegovina)","5.32"
"122","Trinidad and Tobago (British Empire, West Indies Federation →  Trinidad and Tobago)","5.28"
"123","United States Virgin Islands (US)","5.25"
"124","Gambia, The (British Empire, Gambia Colony and Protectorate →  Gambia, The)","5.23"
"125","New Caledonia (French colonial Empire → France)","5.22"
"126","Uzbek SSR ( Soviet Union →  Uzbekistan)","5.08"
"127","French Guiana (French Colonial Empire → France)","5.08"
"128","Chile","5.08"
"129","Azerbaijan SSR ( Soviet Union →  Azerbaijan)","5.07"
"130","Tajik SSR ( Soviet Union →  Tajikistan)","5.04"
"131","Korea, South","5.02"
"132","Puerto Rico (US)","4.97"
"","World","4.96"
"133","Vietnam (French Colonial Empire, French Indochina, French Vietnam →  North Vietnam and  South Vietnam →  Vietnam)","4.96"
"134","Turkmen SSR ( Soviet Union →  Turkmenistan)","4.89"
"135","Cuba","4.76"
"136","SR Montenegro ( Yugoslavia →  Montenegro)","4.62"
"137","Israel","4.52"
"138","Antigua and Barbuda (British Empire →  Antigua and Barbuda)","4.50"
"139","Hong Kong (British Empire, Hong Kong colony →  China, Special administrative regions of China)","4.44"
