"Rank","Country","Fertility rate in 1960 (births/woman)"
"1","Rwanda (Belgian overseas colonies, Ruanda-Urundi → United Nations trust territories →  Rwanda)","8.19"
"2","Kenya (British Empire, Kenya Colony →  Kenya)","7.95"
"3","Cote d'Ivoire","7.69"
"4","Jordan","7.69"
"5","Samoa (United Nations trust territories, Western Samoa →  Samoa)","7.65"
"6","Dominican Republic","7.55"
"7","Algeria (French Colonial Empire, French Algeria →  Algeria)","7.52"
"8","Yemen ( North Yemen and  South Yemen →  Yemen)","7.49"
"9","Angola (Portuguese Empire, Portuguese Angola →  Angola","7.48"
"10","Syria","7.47"
"11","Honduras","7.46"
"12","Afghanistan","7.45"
"13","Niger","7.45"
"14","Tonga (British Empire, British Protectorate →  Tonga)","7.36"
"15","Nicaragua","7.34"
"16","Madagascar","7.30"
"17","Somalia","7.25"
"18","Oman","7.25"
"19","Kuwait (British Empire, British Protectorate →  Kuwait)","7.24"
"20","St. Vincent and the Grenadines (British Empire →  St. Vincent and the Grenadines)","7.22"
"21","Saudi Arabia","7.22"
"22","Libya","7.20"
"23","New Hebrides (British and French Condominium →  Vanuatu)","7.20"
"24","Southern Rhodesia (British Empire, Federation of Rhodesia and Nyasaland →  Zimbabwe)","7.16"
"25","Philippines","7.15"
"26","Northern Rhodesia (British Empire, Federation of Rhodesia and Nyasaland →  Zambia)","7.12"
"27","Bahrain (British Empire →  Bahrain)","7.09"
"28","Morocco","7.04"
"29","Maldives (British Empire, British Protectorate →  Maldives)","7.02"
"30","Uganda (British Empire →  Uganda)","7.00"
"31","Senegal","7.00"
"32","Mali","6.97"
"33","Peru","6.97"
"34","St. Lucia (British Empire, West Indies Federation →  St. Lucia)","6.97"
"35","Qatar (British Empire, British Protectorate →  Qatar)","6.97"
"36","Cambodia","6.97"
"37","Burundi (Belgian overseas colonies, Ruanda-Urundi → United Nations trust territories →  Burundi)","6.95"
"38","Mozambique (Portuguese Empire, Portuguese Mozambique →  Mozambique)","6.95"
"39","Mongolia","6.95"
"40","Malawi (British Empire, Federation of Rhodesia and Nyasaland, Nyasaland Protectorate →  Malawi)","6.94"
"41","Tunisia","6.94"
"42","Micronesia, Federated States of (Trust Territory of the Pacific Islands →  Micronesia, Federated States of)","6.93"
"43","United Arab Emirates (British Empire, Trucial States →  United Arab Emirates)","6.93"
"44","Iran","6.93"
"45","Guatemala","6.90"
"46","Eritrea ( Ethiopia →  Eritrea)","6.90"
"47","Ethiopia","6.88"
"48","Cabo Verde (Portuguese Empire, Portuguese Cape Verde →  Cabo Verde)","6.88"
"49","Brunei (British Empire, British Protectorate →  Brunei)","6.84"
"50","Colombia","6.81"
"51","Tanzania (British Empire, Tanganyika and Zanzibar →  Tanzania)","6.81"
"52","Comoros (French Colonial Empire →  Comoros)","6.79"
"53","Kiribati (British Empire, Gilbert and Ellice Islands →  Kiribati )","6.79"
"54","Mauritania","6.78"
"55","Mexico","6.77"
"56","Ghana","6.75"
"57","Grenada","6.74"
"58","South Sudan ( Sudan →  South Sudan)","6.72"
