"Rank","1980","1985","1990","1995","2000","2005","2010","2015","2020"
"1","United States","United States","United States","United States","United States","United States","United States","China","China"
"2","Soviet Union","Soviet Union","Japan","Japan","China","China","China","United States","United States"
"3","Japan","Japan","West Germany","China","Japan","Japan","India","India","India"
"4","Italy","West Germany","Soviet Union","Germany","Germany","India","Japan","Japan","Japan"
"5","West Germany","Italy","Italy","Russia","India","Germany","Russia","Germany","Germany"
"6","France","France","France","India","Russia","Russia","Germany","Russia","Russia"
"7","Brazil","Brazil","China","Italy","France","Brazil","Brazil","Brazil","Indonesia"
"8","United Kingdom","United Kingdom","United Kingdom","France","Italy","France","France","Indonesia","Brazil"
"9","Mexico","China","Brazil","Brazil","Brazil","United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"10","India","India","India","United Kingdom","United Kingdom","Italy","Italy","France","France"
"Rank","1980","1985","1990","1995","2000","2005","2010","2015","2020"
"11","China","Mexico","Mexico","Mexico","Mexico","Mexico","Indonesia","Mexico","Mexico"
"12","Spain","Canada","Canada","Indonesia","Indonesia","Indonesia","Mexico","Italy","Italy"
"13","Canada","Spain","Indonesia","Spain","Spain","Spain","Spain","Turkey","Turkey"
"14","Saudi Arabia","Iran","Spain","Canada","Canada","Canada","South Korea","South Korea","South Korea"
"15","Indonesia","Indonesia","Saudi Arabia","Saudi Arabia","South Korea","South Korea","Canada","Saudi Arabia","Saudi Arabia"
"16","Argentina","Saudi Arabia","Turkey","South Korea","Saudi Arabia","Saudi Arabia","Iran","Canada","Spain"
"17","Iran","Turkey","Iran","Turkey","Turkey","Turkey","Turkey","Spain","Canada"
"18","Netherlands","Australia","South Korea","Iran","Iran","Iran","Saudi Arabia","Iran","Iran"
"19","Turkey","Netherlands","Australia","Australia","Australia","Australia","Australia","Australia","Egypt"
"20","Poland","Argentina","Netherlands","Thailand","Netherlands","Thailand","Taiwan","Thailand","Australia"
